IBXX - Carteira do Dia 12/11/24
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
TAEE11;TAESA;UNT EDJ N2;218.568.234;0,338;
VIVT3;TELEF BRASIL;ON;407.257.128;0,962;
TEND3;TENDA;ON      NM;121.480.372;0,095;
TIMS3;TIM;ON      NM;807.495.418;0,598;
TOTS3;TOTVS;ON      NM;540.206.440;0,722;
TRPL4;TRAN PAULIST;PN      N1;395.801.044;0,433;
UGPA3;ULTRAPAR;ON      NM;1.090.134.379;0,996;
USIM5;USIMINAS;PNA     N1;515.193.199;0,140;
VALE3;VALE;ON      NM;4.270.903.023;11,163;
VAMO3;VAMOS;ON      NM;485.166.826;0,123;
VBBR3;VIBRA;ON      NM;1.023.392.529;1,028;
VIVA3;VIVARA S.A.;ON      NM;125.823.025;0,141;
WEGE3;WEG;ON      NM;1.482.105.837;3,665;
YDUQ3;YDUQS PART;ON      NM;290.010.465;0,140;
Quantidade Teórica Total;;;102.617.683.775;100,000
Redutor;;;41.410.281,14264026
